blkgrp,area_median_income,ht_rent
'110010037003',89826,44.67745125
'110010038001',89826,49.1576
'110010038002',89826,48.82370875
'110010038003',89826,43.804845
'110010039001',89826,49.85818
'110010039002',89826,47.3422575
'110010039003',89826,48.81394875
'110010039004',89826,49.86737375
'110010040011',89826,52.82978
'110010040012',89826,49.51009375
'110010040013',89826,52.317005
'110010040021',89826,49.69663625
'110010040022',89826,48.88379375
'110010040023',89826,49.51151
'110010041001',89826,52.2047975
'110010041002',89826,57.947335
'110010041003',89826,57.74484
'110010042011',89826,46.67465125
'110010042012',89826,55.42953625
'110010042021',89826,50.83494375
'110010042022',89826,48.67359625
'110010043001',89826,48.1255725
'110010043002',89826,49.36213625
'110010044001',89826,48.5206725
'110010044002',89826,53.271465
'110010046001',89826,50.4896575
'110010046002',89826,51.25165875
'110010047011',89826,38.38685625
'110010047012',89826,47.6879075
'110010047021',89826,47.2367325
'110010048011',89826,45.27205875
'110010048021',89826,49.45481375
'110010048022',89826,48.7878625
'110010049011',89826,48.6871425
'110010049012',89826,49.59843125
'110010049021',89826,48.7682
'110010049022',89826,50.83322375
'110010050011',89826,55.1917975
'110010050012',89826,48.15333
'110010050021',89826,49.88218
'110010050022',89826,49.49393875
'110010050023',89826,44.6862875
'110010050024',89826,44.18795375
'110010052011',89826,46.04322375
'110010052012',89826,54.98866125
'110010052013',89826,54.47265
'110010052014',89826,52.2456675
'110010053011',89826,50.4157375
'110010053012',89826,52.5789225
'110010053013',89826,47.53079375
'110010053014',89826,50.79675875
'110010055001',89826,49.121555
'110010055002',89826,62.73863
'110010055003',89826,62.16011625
'110010055004',89826,51.187835
'110010055005',89826,51.3149075
'110010056001',89826,49.5678925
'110010056002',89826,38.1193275
'110010056003',89826,55.15876
'110010056004',89826,49.30841
'110010058001',89826,74.8357175
'110010058002',89826,48.4611475
'110010059001',89826,47.5480175
'110010064001',89826,34.08712375
'110010064002',89826,36.07997125
'110010065001',89826,52.79162
'110010065002',89826,53.334485
'110010066001',89826,50.4194025
'110010067001',89826,54.96897625
'110010067002',89826,50.42276375
'110010067003',89826,55.41728875
'110010068011',89826,50.18232625
'110010068012',89826,49.5531525
'110010068021',89826,51.67659625
'110010068022',89826,54.09274125
'110010069001',89826,47.12720625
'110010069002',89826,56.58498125
'110010070001',89826,49.79106375
'110010070002',89826,53.549905
'110010071001',89826,41.885355
'110010071002',89826,47.227705
'110010072001',89826,55.4264725
'110010072002',89826,40.49483
'110010073011',89826,68.58375125
'110010073041',89826,45.85454
'110010073042',89826,47.674075
'110010073043',89826,38.72240125
'110010074011',89826,36.45864625
'110010074012',89826,39.7571075
'110010074031',89826,43.491225
'110010074041',89826,45.9736175
'110010074042',89826,53.1295325
'110010074043',89826,40.60034875
'110010074061',89826,44.68598375
'110010074062',89826,44.40907875
'110010074071',89826,47.77786625
'110010074072',89826,40.45006
'110010074081',89826,44.4983825
'110010074091',89826,43.56551625
'110010074092',89826,39.4015175
'110010074093',89826,37.79767625
'110010075021',89826,44.41621
'110010075022',89826,48.029195
'110010075031',89826,47.53196
'110010075032',89826,43.45985
'110010075041',89826,47.44969125
'110010076011',89826,45.94276125
'110010076012',89826,42.532615
'110010076013',89826,43.7396225
'110010076014',89826,42.33540125
'110010076015',89826,42.88629625
'110010076031',89826,43.9671575
'110010076032',89826,48.96544625
'110010076033',89826,54.70397
'110010076034',89826,37.634155
'110010076041',89826,45.52208125
'110010076042',89826,47.46302375
'110010076043',89826,44.59735625
'110010076051',89826,64.905445
'110010076052',89826,42.82116
'110010076053',89826,38.41120375
'110010077031',89826,49.89846375
'110010077032',89826,37.8973125
'110010077033',89826,39.61117625
'110010077034',89826,36.16828625
'110010077071',89826,45.4553475
'110010077072',89826,55.62651
'110010077081',89826,40.44658
'110010077082',89826,46.14226125
'110010077091',89826,39.38630625
'110010077092',89826,42.48264
'110010078031',89826,49.3177275
'110010078032',89826,58.22816625
'110010078033',89826,41.86107125
'110010078034',89826,48.71574
'110010078041',89826,40.05296375
'110010078042',89826,48.8433075
'110010078043',89826,36.54355875
'110010078061',89826,41.45941
'110010078062',89826,48.1958325
'110010078071',89826,43.604335
'110010078072',89826,41.68068875
'110010078081',89826,34.28807
'110010078082',89826,44.9846725
'110010078083',89826,49.20169125
'110010078091',89826,40.13618125
'110010078092',89826,52.28806875
'110010079011',89826,40.2781775
'110010079012',89826,51.53506
'110010079013',89826,45.53974
'110010079014',89826,39.1828075
'110010079031',89826,45.66489125
'110010080011',89826,49.142955
'110010080012',89826,49.3855475
'110010080013',89826,53.8358675
'110010080021',89826,50.1765775
'110010080022',89826,51.14627125
'110010081001',89826,50.18279375
'110010081002',89826,53.976365
'110010081003',89826,52.4217075
'110010082001',89826,49.26902875
'110010082002',89826,52.33658375
'110010083011',89826,58.12856875
'110010083012',89826,51.51306125
'110010083021',89826,52.94495125
'110010084021',89826,50.7312475
'110010084022',89826,49.1979175
'110010084101',89826,53.149065
'110010087011',89826,48.2975525
'110010087012',89826,49.87757375
'110010087021',89826,47.23399375
'110010087022',89826,48.28347625
'110010088021',89826,37.92130375
'110010088022',89826,44.22444125
'110010088023',89826,51.5733375
'110010088024',89826,49.51276375
'110010088031',89826,43.33025375
'110010088041',89826,43.01062
'110010088042',89826,43.997075
'110010089031',89826,49.20197
'110010089032',89826,42.20372875
'110010089041',89826,36.8397025
'110010089042',89826,44.28844375
'110010090001',89826,51.6375275
'110010090002',89826,30.64260125
'110010091021',89826,41.0316575
'110010091022',89826,42.40782875
'110010091023',89826,40.36737625
'110010092011',89826,44.251145
'110010092031',89826,38.2385775
'110010092032',89826,48.17296125
'110010092041',89826,46.99048875
'110010092042',89826,37.6366525
'110010093011',89826,49.4927125
'110010093012',89826,57.9906675
'110010093013',89826,41.95181
'110010093014',89826,63.9626025
'110010093021',89826,49.71147875
'110010094001',89826,47.714215
'110010094002',89826,47.655145
'110010094003',89826,51.6975325
'110010094004',89826,54.064865
'110010095011',89826,44.65902625
'110010095012',89826,39.07339625
'110010095013',89826,49.972045
'110010095031',89826,53.77379125
'110010095032',89826,67.1520475
'110010095033',89826,62.27074625
'110010095041',89826,47.39239375
'110010095042',89826,55.13652
'110010095051',89826,64.311465
'110010095052',89826,55.3610225
'110010095053',89826,53.1895825
'110010095071',89826,62.21146125
'110010095081',89826,46.321435
'110010095082',89826,59.7573125
'110010095083',89826,50.0268
'110010095091',89826,48.19546625
'110010095092',89826,50.75299375
'110010095093',89826,58.01838625
'110010096011',89826,44.00512875
'110010096021',89826,44.59354625
